Equipamento;Razão Social;Situação;Taxa de Depreciação;Valor do Equipamento;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
BALANÇA ANTROPOMÉTRICA;4;Não Obsoleto;18%;899.32;
ESFIGMOMANÔMETRO ANALÓGICO;6;Obsoleto;107%;-14.57;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
BALANÇA ANTROPOMÉTRICA;4;Não Obsoleto;18%;899.32;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;6;Obsoleto;107%;-14.57;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;6;Obsoleto;107%;-14.57;
ESFIGMOMANÔMETRO ANALÓGICO;6;Obsoleto;107%;-14.57;
BALANÇA ANTROPOMÉTRICA;4;Não Obsoleto;18%;899.32;
ESFIGMOMANÔMETRO ANALÓGICO;6;Obsoleto;107%;-14.57;
ESFIGMOMANÔMETRO ANALÓGICO;6;Obsoleto;107%;-14.57;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;6;Obsoleto;107%;-14.57;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
BALANÇA ANTROPOMÉTRICA;4;Não Obsoleto;18%;899.32;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
BALANÇA ANTROPOMÉTRICA;4;Não Obsoleto;18%;899.32;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
BALANÇA ANTROPOMÉTRICA;4;Não Obsoleto;18%;899.32;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
WORKSTATION;2;Obsoleto;141%;-20643.84;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO ANALÓGICO;6;Obsoleto;107%;-14.57;
ESFIGMOMANÔMETRO ANALÓGICO;6;Obsoleto;107%;-14.57;
ESFIGMOMANÔMETRO ANALÓGICO;1;Obsoleto;107%;-22.03;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;7.53;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;7.03;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;98%;13.80;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;100%;1.51;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-10.04;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;10.54;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-13.30;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;100%;0.25;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;100%;1.25;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;100%;-0.25;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;100%;0.00;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;10.54;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;95%;45.17;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;95%;45.17;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;10.04;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;97%;27.86;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;8.53;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;96%;34.13;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-13.05;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-9.29;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;7.53;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;100%;1.51;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;11.29;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;98%;19.57;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;98%;14.56;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;100%;2.76;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;96%;32.88;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;97%;27.61;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;102%;-15.31;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;100%;-0.25;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;100%;-0.50;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-8.28;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-9.79;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;96%;32.62;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;95%;44.67;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;96%;40.40;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;96%;40.15;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;8.03;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;10.29;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;11.29;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;95%;44.92;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;96%;40.40;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;100%;0.00;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;96%;34.13;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;6.78;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;100%;0.00;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;98%;16.81;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;100%;-1.00;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;7.78;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;8.03;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;7.78;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;102%;-15.56;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;100%;1.25;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-8.53;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-8.78;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;100%;-1.00;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;100%;0.75;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;100%;-0.25;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;98%;16.81;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;95%;45.17;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;96%;32.37;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;96%;40.15;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;96%;41.16;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;95%;44.67;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;96%;41.16;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;8.28;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;11.04;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;96%;34.13;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-13.30;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-8.28;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-10.29;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-10.04;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;96%;34.13;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;100%;1.25;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-13.30;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;10.29;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;98%;14.56;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;9.54;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;98%;16.81;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;96%;40.40;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;98%;17.57;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-9.29;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-11.54;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-10.54;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-9.79;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-9.03;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;101%;-7.53;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;100%;2.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;5.27;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;8.03;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;8.28;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;8.28;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;97%;27.86;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;98%;16.81;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;8.53;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;102%;-14.30;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;96%;32.88;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;99%;8.03;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;100%;1.00;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;100%;-2.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;100%;-3.76;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;100%;0.75;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;100%;-2.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;100%;3.76;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;100%;0.00;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;100%;0.00;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;100%;-0.50;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;100%;-1.00;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;100%;-1.76;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;100%;-0.25;
ESFIGMOMANÔMETRO DE PAREDE;1;Não Obsoleto;96%;34.13;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
ESFIGMOMANÔMETRO DE PAREDE;1;Obsoleto;107%;-67.26;
